
Host: saads-MBP

Timers On : Thu Aug 11 09:40:23 2022
Timers Off: Thu Aug 11 09:49:45 2022

Wall Time:      562.42 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.067u      0.000s      0.047w     60 calls
Libint2ERI::Libint2ERI              :      0.050u      0.000s      0.071w    575 calls
DFH: initialize()                   :      0.150u      0.100s      0.240w     60 calls
DFH: AO Construction                :      0.017u      0.000s      0.014w     60 calls
DFH: AO-Met. Contraction            :      0.017u      0.000s      0.002w     60 calls
HF: Form core H                     :      0.017u      0.017s      0.026w     60 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w     60 calls
HF: Guess                           :      0.967u      0.033s      0.625w     60 calls
SAD Guess                           :      0.917u      0.033s      0.583w     60 calls
HF: Form G                          :      0.217u      0.017s      0.139w    555 calls
JK: D                               :      0.017u      0.000s      0.003w    947 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w    947 calls
JK: JK                              :      0.483u      0.000s      0.314w    947 calls
DFH: compute_JK()                   :      0.033u      0.000s      0.012w    436 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.001w    436 calls
DFH: compute_J                      :      0.033u      0.000s      0.003w    436 calls
DFH: compute_K                      :      0.000u      0.000s      0.004w    436 calls
build_JK()                          :      0.100u      0.000s      0.079w    315 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    947 calls
HF: Form F                          :      0.017u      0.000s      0.002w    555 calls
HF: Form D                          :      0.000u      0.000s      0.002w    555 calls
HF: DIIS                            :      0.500u      0.000s      0.287w    495 calls
DIISManager::add_entry              :      0.000u      0.000s      0.009w    495 calls
DIISManager::extrapolate            :      0.033u      0.000s      0.014w    495 calls
bMatrix setup                       :      0.017u      0.000s      0.003w    495 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.005w    495 calls
New vector                          :      0.000u      0.000s      0.003w    495 calls
HF: Form C                          :      0.150u      0.000s      0.084w    495 calls
Total PK formation time             :      0.017u      0.000s      0.017w     10 calls
CIWave: MCSCF integral transform    :      0.317u      0.650s      0.530w    206 calls
PK computes JK                      :      0.000u      0.000s      0.001w    196 calls
CIWave: CIvect write                :      0.017u      0.017s      0.032w   5464 calls
CIWave: CIvect read                 :      0.033u      0.050s      0.066w  21246 calls
CIWave: s2                          :      0.000u      0.000s      0.001w    618 calls
CIWave: s3                          :      0.000u      0.000s      0.001w    618 calls
CIWave: opdm                        :      0.000u      0.000s      0.010w    412 calls
CIWave: TPDM                        :      0.000u      0.017s      0.007w    206 calls
CIWave: TPDM Block                  :      0.000u      0.000s      0.001w    412 calls
CIWave: TPDM Reorder                :      0.000u      0.000s      0.001w    206 calls
SOMCSCF: Compute Gradient           :      0.200u      0.033s      0.166w    186 calls
SOMCSCF: Q matrix                   :      0.000u      0.033s      0.070w    186 calls
SOMCSCF: Approximate hessian        :      0.000u      0.000s      0.001w    186 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.067u      0.000s      0.047w     60 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.010w     60 calls
DFH: initialize()                   :      0.150u      0.100s      0.240w     60 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.011w    120 calls
| DFH: AO Construction              :      0.017u      0.000s      0.014w     60 calls
| DFH: AO-Met. Contraction          :      0.017u      0.000s      0.002w     60 calls
HF: Form core H                     :      0.017u      0.017s      0.026w     60 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w     60 calls
HF: Guess                           :      0.967u      0.033s      0.625w     60 calls
| SAD Guess                         :      0.917u      0.033s      0.583w     60 calls
HF: Form G                          :      0.217u      0.017s      0.139w    555 calls
| JK: D                             :      0.017u      0.000s      0.002w    555 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w    555 calls
| JK: JK                            :      0.183u      0.000s      0.127w    555 calls
| | DFH: compute_JK()               :      0.033u      0.000s      0.012w    436 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.001w    436 calls
| | | DFH: compute_J                :      0.033u      0.000s      0.003w    436 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.004w    436 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.015w    119 calls
| | build_JK()                      :      0.050u      0.000s      0.030w    119 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    555 calls
HF: Form F                          :      0.017u      0.000s      0.002w    555 calls
HF: Form D                          :      0.000u      0.000s      0.002w    555 calls
HF: DIIS                            :      0.500u      0.000s      0.287w    495 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.009w    495 calls
